"dgp","metric","model","iteration","k","n_trees","nu","q","min_node_size","sample_fraction","mtry","weights_method","value"
"dgp40","coverage","bart_s-learner",2,1,200,3,0.99,NA,NA,NA,NA,0
"dgp40","ate_estimate","bart_s-learner",2,1,200,10,0.75,NA,NA,NA,NA,6.5575614897501
"dgp40","ate_bias","bart_s-learner",2,1,200,10,0.75,NA,NA,NA,NA,-0.404423417655453
"dgp40","ci_length","bart_s-learner",2,1,200,10,0.75,NA,NA,NA,NA,0.509592256833222
"dgp40","coverage","bart_s-learner",2,1,200,10,0.75,NA,NA,NA,NA,0
"dgp40","ate_estimate","bart_s-learner",2,2,200,3,0.9,NA,NA,NA,NA,6.53486186193448
"dgp40","ate_bias","bart_s-learner",2,2,200,3,0.9,NA,NA,NA,NA,-0.427123045471074
"dgp40","ci_length","bart_s-learner",2,2,200,3,0.9,NA,NA,NA,NA,0.485384790122733
"dgp40","coverage","bart_s-learner",2,2,200,3,0.9,NA,NA,NA,NA,0
"dgp40","ate_estimate","bart_s-learner",2,2,200,3,0.99,NA,NA,NA,NA,6.55779597366054
"dgp40","ate_bias","bart_s-learner",2,2,200,3,0.99,NA,NA,NA,NA,-0.404188933745012
"dgp40","ci_length","bart_s-learner",2,2,200,3,0.99,NA,NA,NA,NA,0.482478252898075
"dgp40","coverage","bart_s-learner",2,2,200,3,0.99,NA,NA,NA,NA,0
"dgp40","ate_estimate","bart_s-learner",2,2,200,10,0.75,NA,NA,NA,NA,6.58392705744184
"dgp40","ate_bias","bart_s-learner",2,2,200,10,0.75,NA,NA,NA,NA,-0.378057849963709
"dgp40","ci_length","bart_s-learner",2,2,200,10,0.75,NA,NA,NA,NA,0.498102835987827
"dgp40","coverage","bart_s-learner",2,2,200,10,0.75,NA,NA,NA,NA,0
"dgp40","ate_estimate","bart_s-learner",2,3,200,3,0.9,NA,NA,NA,NA,6.56931754551338
"dgp40","ate_bias","bart_s-learner",2,3,200,3,0.9,NA,NA,NA,NA,-0.392667361892165
"dgp40","ci_length","bart_s-learner",2,3,200,3,0.9,NA,NA,NA,NA,0.487625763089047
