"dgp","model","k","n_trees","nu","q","min_node_size","sample_fraction","mtry","weights_method","rmse_rel","coverage","ci_rel"
"dgp60","bart_t-learner",5,200,10,0.75,NA,NA,NA,NA,0.0575311286575624,0.85,0.176695498232784
"dgp60","causal_forest",NA,NA,NA,NA,5,0.3,11,NA,0.061011252011298,0.8,0.180984982461061
"dgp60","causal_forest",NA,NA,NA,NA,5,0.3,16,NA,0.0623436995781629,0.85,0.179798673896672
"dgp60","causal_forest",NA,NA,NA,NA,5,0.3,26,NA,0.0644320648721927,0.85,0.179557237595959
"dgp60","causal_forest",NA,NA,NA,NA,5,0.5,11,NA,0.0604853662822835,0.85,0.180316156058792
"dgp60","causal_forest",NA,NA,NA,NA,5,0.5,16,NA,0.0627815916279214,0.85,0.179735515295827
"dgp60","causal_forest",NA,NA,NA,NA,5,0.5,26,NA,0.0632548161908964,0.85,0.17914575166174
"dgp60","causal_forest",NA,NA,NA,NA,10,0.3,11,NA,0.0614502393693111,0.8,0.180568275426272
"dgp60","causal_forest",NA,NA,NA,NA,10,0.3,16,NA,0.0629294326734373,0.85,0.179761628885715
"dgp60","causal_forest",NA,NA,NA,NA,10,0.3,26,NA,0.0649842303847005,0.85,0.17919376507412
"dgp60","causal_forest",NA,NA,NA,NA,10,0.5,11,NA,0.0610158311465295,0.85,0.180011464060203
"dgp60","causal_forest",NA,NA,NA,NA,10,0.5,16,NA,0.0618692179466216,0.85,0.179407828764151
"dgp60","causal_forest",NA,NA,NA,NA,10,0.5,26,NA,0.0643146698714047,0.85,0.179223127602439
"dgp60","causal_forest",NA,NA,NA,NA,20,0.3,11,NA,0.0610144982841138,0.85,0.18064030893885
"dgp60","causal_forest",NA,NA,NA,NA,20,0.3,16,NA,0.0634884834600931,0.8,0.179801376536324
"dgp60","causal_forest",NA,NA,NA,NA,20,0.3,26,NA,0.0648256888469843,0.8,0.178938411687218
"dgp60","causal_forest",NA,NA,NA,NA,20,0.5,11,NA,0.0617827542162313,0.85,0.179881713870543
"dgp60","causal_forest",NA,NA,NA,NA,20,0.5,16,NA,0.0628166611756173,0.85,0.179386225172067
"dgp60","causal_forest",NA,NA,NA,NA,20,0.5,26,NA,0.0639378899358545,0.85,0.178785770677173
"dgp60","causal_forest",NA,NA,NA,NA,50,0.3,11,NA,0.0631308786016955,0.8,0.180403134272706
"dgp60","causal_forest",NA,NA,NA,NA,50,0.3,16,NA,0.0631621879176553,0.85,0.180090262597294
"dgp60","causal_forest",NA,NA,NA,NA,50,0.3,26,NA,0.064941287531769,0.85,0.179714514737555
"dgp60","causal_forest",NA,NA,NA,NA,50,0.5,11,NA,0.0614006627307839,0.85,0.17952557939559
"dgp60","causal_forest",NA,NA,NA,NA,50,0.5,16,NA,0.062208987577951,0.85,0.179078133810991
"dgp60","causal_forest",NA,NA,NA,NA,50,0.5,26,NA,0.0637685023067,0.85,0.179285804293954
